Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_1,avg_price_per_room,no_of_special_requests,booking_status
INN23152,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN21915,1,0,0,2,1,0,1,103,2018,4,19,1,0,0,0,115,0,0
INN24290,2,0,1,4,2,0,1,33,2018,4,18,2,0,0,0,90.54,0,0
INN31921,2,0,0,3,1,0,1,64,2018,11,22,2,0,0,0,93.6,1,0
INN34718,2,0,1,1,3,0,1,247,2018,6,6,1,0,0,0,115,1,0
INN31303,2,0,0,3,1,0,1,304,2018,11,3,1,0,0,0,89,0,0
INN34963,1,0,3,5,2,0,1,275,2018,10,9,2,0,0,0,91.69,0,0
INN14729,2,0,2,0,1,0,1,146,2018,4,24,1,0,0,0,95,0,0
INN06771,2,2,2,3,1,0,2,41,2018,9,4,2,0,0,0,208.93,0,0
INN34053,2,0,2,1,1,0,4,41,2018,9,18,2,0,0,0,149.4,1,0
INN12335,2,0,1,0,2,0,1,10,2018,3,13,2,0,0,0,97,0,0
INN32422,3,0,2,1,1,0,4,128,2018,10,29,2,0,0,0,123.3,1,0
INN07271,1,0,0,1,1,0,1,177,2018,7,30,2,0,0,0,99.9,0,0
INN06950,2,0,2,2,1,0,1,180,2018,11,27,2,0,0,0,85,0,0
INN06595,2,0,0,2,3,0,1,346,2018,9,13,2,0,0,0,115,1,0
INN05722,1,0,0,3,1,0,1,166,2018,11,1,2,0,0,0,110,0,0
INN27728,3,0,0,1,1,0,1,220,2018,9,29,1,0,0,0,105.4,2,0
INN20017,1,0,2,1,1,0,1,163,2018,10,15,1,0,0,0,115,0,0
INN05909,2,0,2,2,1,0,1,174,2018,9,2,2,0,0,0,119.85,1,0
INN24458,2,0,2,4,1,0,1,160,2018,4,27,1,0,0,0,90,0,0
INN10762,2,0,0,2,2,0,1,163,2018,12,2,2,0,0,0,79.2,0,0
INN04584,2,0,1,5,1,0,4,79,2018,4,4,2,0,0,0,96.62,1,0
INN00902,2,1,0,3,1,0,1,124,2018,5,31,2,0,0,0,143.1,1,0
INN28424,1,0,0,2,1,0,1,103,2018,4,19,1,0,0,0,115,0,0
INN09306,2,0,2,1,1,0,4,202,2018,10,22,2,0,0,0,109.8,0,0
INN01117,2,0,1,2,3,0,1,418,2018,9,26,2,0,0,0,107,0,0
INN06459,2,0,1,3,2,0,1,56,2018,12,26,2,0,0,0,88.4,0,0
INN20404,2,0,0,3,3,0,1,34,2017,9,23,1,0,0,0,224.67,0,0
INN23504,2,0,0,1,1,0,1,3,2017,10,8,3,0,0,0,65,0,0
INN31410,2,2,2,7,1,0,6,151,2018,7,1,2,0,0,0,167.45,2,0
INN01666,1,0,0,5,1,0,1,230,2018,9,6,2,0,0,0,111,0,0
INN11148,2,0,0,1,1,0,1,443,2018,4,29,1,0,0,0,65,0,0
INN19257,2,0,1,1,1,0,1,218,2018,8,13,2,0,0,0,69.33,0,0
INN22869,2,1,0,3,1,0,1,42,2018,10,20,2,0,0,0,164.33,1,0
INN36190,2,0,0,3,1,0,1,195,2018,9,28,2,0,0,0,126.9,0,0
INN00969,2,0,0,1,1,0,1,105,2018,4,6,2,0,0,0,75,0,0
INN20189,3,0,1,0,1,0,1,28,2018,3,27,2,0,0,0,167,0,0
INN01750,1,0,0,1,2,0,1,8,2018,5,25,2,0,0,0,119,0,0
INN29307,2,0,1,1,1,0,4,0,2018,2,13,2,0,0,0,106,0,0
INN30082,2,2,0,1,1,0,2,111,2018,10,6,2,0,0,0,221.4,1,0
INN04681,2,0,0,2,1,0,1,308,2018,11,25,2,0,0,0,52,0,0
INN28574,1,0,2,1,1,0,1,1,2018,2,28,1,0,0,0,60,0,0
INN14484,2,0,2,7,1,0,1,267,2018,12,23,2,0,0,0,77.73,0,0
INN22836,2,0,1,1,3,0,1,247,2018,6,6,1,0,0,0,115,1,0
INN19513,2,0,7,17,1,0,1,188,2018,7,4,2,0,0,0,90.95,1,0
INN08644,2,0,0,4,1,0,1,135,2018,6,14,2,0,0,0,92.28,1,0
INN00548,2,0,0,2,3,0,1,256,2018,6,15,2,0,0,0,112,1,0
INN13697,3,0,1,2,2,0,1,14,2017,9,14,2,0,0,0,100.87,0,0
INN11580,2,1,1,2,1,0,1,52,2018,7,8,2,0,0,0,132.9,0,0
INN20323,2,0,2,5,1,0,1,206,2018,10,6,2,0,0,0,102.85,1,0
INN19932,2,0,1,0,2,0,1,54,2018,4,18,2,0,0,0,85.5,0,0
INN35344,2,0,0,1,2,0,1,98,2018,7,12,2,0,0,0,94.5,0,0
INN35333,2,0,1,4,2,0,1,172,2018,6,27,2,0,0,0,80.75,0,0
INN14947,2,0,1,3,1,0,4,45,2018,3,28,2,0,0,0,143.65,0,0
INN08183,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN33387,2,1,2,2,1,0,1,171,2018,8,6,2,0,0,0,114.75,2,0
INN08697,2,0,0,1,2,1,1,153,2018,7,29,2,0,0,0,103.5,1,0
INN13100,3,0,2,2,1,0,4,28,2018,5,22,2,0,0,0,149.15,0,0
INN11862,2,0,2,2,1,0,1,149,2018,8,20,2,0,0,0,105.3,0,0
INN31608,1,1,1,1,1,0,1,61,2018,7,23,2,0,0,0,121.5,0,0
INN14917,2,0,1,2,1,0,1,118,2018,4,29,2,0,0,0,99.3,1,0
INN15493,2,1,2,1,1,0,1,68,2018,7,24,2,0,0,0,121.5,0,0
INN09916,2,0,0,1,3,0,1,100,2017,10,16,1,0,0,0,108,0,0
INN35195,3,0,1,4,1,0,1,102,2018,7,25,1,0,0,0,96.9,0,0
INN09405,2,0,1,3,1,1,1,151,2018,7,11,2,0,0,0,110.58,1,0
INN26074,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN26107,2,0,1,2,1,0,1,91,2018,4,4,1,0,0,0,80,0,0
INN28773,2,0,1,3,1,0,1,54,2018,3,17,2,0,0,0,89.46,0,0
INN35941,2,0,1,0,1,0,1,54,2018,6,20,2,0,0,0,99.9,0,0
INN01167,2,0,0,2,2,0,1,163,2018,7,22,2,0,0,0,94.5,0,0
INN06281,2,0,1,1,3,0,1,301,2018,7,30,2,0,0,0,115,1,0
INN29932,2,1,2,5,1,0,1,177,2018,10,2,2,0,0,0,125.1,1,0
INN31128,2,0,2,2,2,0,1,95,2018,5,21,2,0,0,0,109.65,0,0
INN25752,2,0,0,2,1,0,4,240,2018,9,30,2,0,0,0,140.4,0,0
INN26325,3,0,2,0,3,0,4,100,2018,5,15,2,0,0,0,210.6,2,0
INN02060,3,0,1,3,1,0,4,88,2018,10,10,2,0,0,0,151.2,0,0
INN18983,2,0,0,1,1,0,1,105,2018,4,6,1,0,0,0,75,0,0
INN25192,2,0,0,2,3,0,1,102,2017,10,16,1,0,0,0,101.5,0,0
INN08711,2,0,1,2,1,0,1,121,2018,6,24,1,0,0,0,90,0,0
INN24048,2,0,3,6,2,0,1,314,2018,12,26,2,0,0,0,68.66,0,0
INN31906,1,0,0,3,1,0,1,214,2018,8,16,2,0,0,0,90.9,0,0
INN11504,2,0,1,2,1,0,1,233,2018,10,14,1,0,0,0,90,0,0
INN05156,2,0,0,2,3,0,1,239,2018,6,15,2,0,0,0,112.2,0,0
INN19544,2,0,2,1,1,0,1,159,2018,8,7,2,0,0,0,114.3,0,0
INN36123,2,0,0,3,1,0,1,27,2018,5,10,2,0,0,0,141,0,0
INN00562,2,0,0,1,1,0,1,33,2018,11,26,2,0,0,0,104,1,0
INN35657,2,0,0,1,1,0,1,443,2018,4,29,1,0,0,0,65,0,0
INN01744,2,0,0,2,1,0,1,248,2018,5,26,2,0,0,0,118,0,0
INN26577,2,0,0,2,1,0,1,245,2018,6,17,1,0,0,0,75,0,0
INN14413,1,0,0,2,1,0,1,192,2018,6,24,1,0,0,0,110,0,0
INN35868,2,0,0,2,2,0,1,39,2018,3,11,2,0,0,0,71.1,1,0
INN00195,2,0,4,10,1,0,4,147,2018,8,3,2,0,0,0,118.88,1,0
